0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:42 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:45 +0900] "POST /JspStudy/CH07/sessionEx2/requestProcBoot.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:56 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:03 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:03 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:04 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:04 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:05 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:08 +0900] "POST /JspStudy/CH07/sessionEx2/requestProcBoot.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:08 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:33 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:34 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:35 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:35 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:44 +0900] "GET /JspStudy/CH07/sessionEx2/main.sjp HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:40:49 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:41:57 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:41:59 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp?logout=1 HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:42:00 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:42:04 +0900] "POST /JspStudy/CH07/sessionEx2/requestProcBoot.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:42:04 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:42:06 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp?logout=1 HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:46:19 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:46:23 +0900] "POST /JspStudy/CH07/sessionEx2/requestProcBoot.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:46:23 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9603
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:46:25 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp?logout=1 HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:06:04 +0900] "GET /JspStudy/CH07/applicationEx/applicationMain.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:41 +0900] "GET /JspStudy/CH07/applicationEx/applicationMain.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:41 +0900] "GET /JspStudy/CH07/applicationEx/applicationMain.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:41 +0900] "GET /JspStudy/CH07/applicationEx/applicationMain.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:41 +0900] "GET /JspStudy/CH07/applicationEx/applicationMain.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:41 +0900] "GET /JspStudy/CH07/applicationEx/applicationMain.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:42 +0900] "GET /JspStudy/CH07/applicationEx/applicationProc.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [13/Apr/2023:16:13:44 +0900] "GET /JspStudy/CH07/applicationEx/applicationProc.jsp HTTP/1.1" 200 218
